Project Code,Post Example,Match Keys,Formal Name,Is OTV project?,Notes
GE,GOOD ENOUGH SEASON ONE _OFFICIAL TRAILER,GOOD ENOUGH,GOOD ENOUGH,,
OTV,OTV | Open Television Super Trailer 2017-2018,Open TV | OTV | Open Television,Open TV,,"
"
GGMO,Geeta's Guide To Moving On -- Episode 1,Geeta's Guide To Moving On,Geeta's Guide To Moving On,,
HD,The Hoodosie - Episode 9,The Hoodosie,The Hoodosie,,
HS,HAIR STORY (Pilot Concept),HAIR STORY,HAIR STORY,,
HU,Hook Ups - Episode 1,Hook Ups,Hook Ups,,
IGU,It Goes Unsaid,It Goes Unsaid,It Goes Unsaid,FALSE,
IN,Open TV Presents - Inertia,Inertia,Inertia,,
IRL,In Real Life - Erin,In Real Life,In Real Life,,
JCMR,,Just Call Me Ripley,Just Call Me Ripley,,
KI,,Kickin' It,Kickin' It,FALSE,
"KQ
",,Kings and Queens,Kings and Queens,,
KW,Open TV Re-Presents: Kissing Walls -- Pilot,"Kissing Walls
","Kissing Walls
",,
LC,Open TV Presents: Lipstick City by Shea Couleé,Lipstick City,Lipstick City,,
LGLG,Open TV Presents: Let Go and Let God,Let Go and Let God,Let Go and Let God,,
LS,"Low Strung S. 1, Ep. 1 #ShervDay",Low Strung,Low Strung,,
MAD,,Michaela Angela Davis,Michaela Angela Davis,FALSE,
MM,Movement Matters - Trailer,Movement Matters,Movement Matters,,
MSMF,Open TV Re-Presents: Melody Set Me Free Seasons 1-3,Melody Set Me Free,Melody Set Me Free,,
NN,"
",Night Night,Night Night,,
NOCV,Open TV Presents: Nupita Obama Creates Vogua,Nupita Obama Creates Vogua,Nupita Obama Creates Vogua,,
OT,Open TV Re-Presents: Outtakes -- Seasons 1-2,Outtakes,Outtakes,,
OV,On The Verge -- By Paige Cunningham Caldarella & Jessica King,On The Verge,On The Verge,,
P4L,,"PrEP4Love | P4L | Dr. Every Woman | One Little Pill
","PrEP4Love
",,
PB,,Project Basho,Project Basho,FALSE,
PD,,Pay Day,Pay Day,FALSE,
PR,Open Television Tonight on Fox Good Day Chicago,Public Relations,Public Relations,,
PVP,Philadelphia Voices of Pride,Philadelphia Voices of Pride,Philadelphia Voices of Pride,FALSE,
QL,Quare Life,Quare Life,Quare Life,,
QTA,Queer The Air - Pilot - Keon,Queer The Air,Queer The Air,,
RIC,The Roach Is Coming by Derrick Woods-Morrow,The Roach Is Coming,The Roach Is Coming,,
RN,,Renee,Renee,,
RNGE,Open TV Presents - Reality Is Not Good Enough,Reality Is Not Good Enough,Reality Is Not Good Enough,,
SA,Starving Artists -- Episode 1,Starving Artists,Starving Artists,,
SDS,SEEDS -- Episode #1.1 We're All Hoes,SEEDS,SEEDS,,
SFI,,Searching For Isabelle,Searching For Isabelle,,
SG,,"Stargayzer
","Stargayzer
",FALSE,
SH,/Shift/ -- A Fundraiser for Honey Pot Performance,/Shift/,/Shift/,,
SLN,Sur La Nuit with Alexa Grae,Sur La Nuit with Alexa Grae,Sur La Nuit with Alexa Grae,,
SFP,Open TV Presents: Southern for Pussy,Southern For Pussy,Southern For Pussy,,
SYM,Symbiotic Episode 1,Symbiotic,Symbiotic,,
TEX,The Exquisite Corpse,The Exquisite Corpse,The Exquisite Corpse,,
TNP,OTV Re-Presents - The North Pole,The North Pole,The North Pole,,
TQIK,"Two Queens in a Kitchen, Season 2 -- Rashaad & Nathaniel",Two Queens in a Kitchen | 2QIK,Two Queens in a Kitchen,,
TR,Open TV Presents - Triggers by Kai M. Green,Triggers,Triggers,,
TRS,The Right Swipe - Pilot,The Right Swipe,The Right Swipe,,
TT,the T - Episode 1,the T,the T,,
UE,"
",Uneverything,Uneverything,,
USA,,United States of Aliens,United States of Aliens,,
VT,VELVET - Episode 1,VELVET,VELVET,,
YMA,Yogma -- Episode 1,Yogma,Yogma,,
YSK,You Should Know This By Now -- VINCENT RODRIGUEZ,You Should Know This By Now,You Should Know This By Now,,
YST,"You're So Talented, Season Two - Chapter Three",You're So Talented,You're So Talented,,
