 ,Post Example,Match Keys,Formal Name,Is OTV project?,Notes
PR,Open Television Tonight on Fox Good Day Chicago,Public Relations,Public Relations,FALSE,
PVP,Philadelphia Voices of Pride,Philadelphia Voices of Pride,Philadelphia Voices of Pride,FALSE,
QL,Quare Life,Quare Life,Quare Life,PRESENTS,
QTA,Queer The Air - Pilot - Keon,Queer The Air,Queer The Air,PRESENTS,
RIC,The Roach Is Coming by Derrick Woods-Morrow,The Roach Is Coming,The Roach Is Coming,PRESENTS,
RN,,Renee,Renee,PRESENTS,
RNGE,Open TV Presents - Reality Is Not Good Enough,Reality Is Not Good Enough,Reality Is Not Good Enough,PRESENTS,
SA,Starving Artists -- Episode 1,Starving Artists,Starving Artists,ORIGINALS,
SDS,SEEDS -- Episode #1.1 We're All Hoes,SEEDS,SEEDS,ORIGINALS,
SFI,,Searching For Isabelle,Searching For Isabelle,PRESENTS,
SG,,"Stargayzer
","Stargayzer
",FALSE,
SH,/Shift/ -- A Fundraiser for Honey Pot Performance,/Shift/,/Shift/,COMMUNITY,OTV Community
SLN,Sur La Nuit with Alexa Grae,Sur La Nuit with Alexa Grae,Sur La Nuit with Alexa Grae,PRESENTS,
SFP,Open TV Presents: Southern for Pussy,Southern For Pussy,Southern For Pussy,PRESENTS,
SYM,Symbiotic Episode 1,Symbiotic,Symbiotic,PRESENTS,
TEX,The Exquisite Corpse,The Exquisite Corpse,The Exquisite Corpse,PRESENTS,
TNP,OTV Re-Presents - The North Pole,The North Pole,The North Pole,REPRESENTS,
TQIK,"Two Queens in a Kitchen, Season 2 -- Rashaad & Nathaniel",Two Queens in a Kitchen | 2QIK,Two Queens in a Kitchen,ORIGINALS,
TR,Open TV Presents - Triggers by Kai M. Green,Triggers,Triggers,PRESENTS,
TRS,The Right Swipe - Pilot,The Right Swipe,The Right Swipe,ORIGINALS,
TT,the T - Episode 1,the T,the T,ORIGINALS,
UE,"
",Uneverything,Uneverything,ORIGINALS,
USA,,United States of Aliens,United States of Aliens,PRESENTS,
VT,VELVET - Episode 1,VELVET,VELVET,ORIGINALS,
VAM,,Vincent Martell | VAM,,,
YMA,Yogma -- Episode 1,Yogma,Yogma,ORIGINALS,
YSK,You Should Know This By Now -- VINCENT RODRIGUEZ,You Should Know This By Now,You Should Know This By Now,PRESENTS,
YST,"You're So Talented, Season Two - Chapter Three",You're So Talented,You're So Talented,ORIGINALS,
ADP,A Day at the Plant,A Day at the Plant,A Day at the Plant,FALSE,
COH,Culture of Health Video Application_Elijah McKinnon_2019,Culture of Health,Culture of Health,FALSE,
CG,Chewing Gum,Chewing Gum,Chewing Gum,,
CHT,Introducing the Chicago Home Theater Festival 2015,Chicago Home Theater Festival,Chicago Home Theater Festival,COMMUNITY,OTV Community
DA,Derek and Aymar,Derek and Aymar,Derek and Aymar,FALSE,
FQC,"Femme Queen Chronicles - Episode One, The Clock",Femme Queen Chronicles,Femme Queen Chronicles,PRESENTS,
GG,Greed is Good: Kade vs. Douglas,Greed is Good,Greed is Good,FALSE,
IMR,Is Premiere Week an 'Event'? In Media Res,In Media Res,In Media Res,FALSE,
LVA,LEE's Video Art,LEE's Video Art,LEE's Video Art,FALSE,
MST,Military Sexual Trauma,Military Sexual Trauma,Military Sexual Trauma,FALSE,
MT,MEET - Episode Three - JORDAN 10AM,Meet,Meet,FALSE,
RP,Reunion Photos,Reunion Photos,Reunion Photos,FALSE,
RPDR,Saya Naomi RPDR season 10 audition,RDPR,Rupaul's Drag Race,FALSE,
PLM,"Caroline Weber on Daphne Guinness, Marie Antoinette and the Peril of the Living Mannequin",Peril of the Living Mannequin,Peril of the Living Mannequin,FALSE,
SDR,Serial Dreamer,Serial Dreamer,Serial Dreamer,,
SGT,Sex Is A God Thing,Sex Is A God Thing,Sex Is A God Thing,PRESENTS,
SSS,"Senegal: Sights, Sounds and Struggles","Senegal: Sights, Sounds and Struggles","Senegal: Sights, Sounds and Struggles",FALSE,
THN,THANDO - ROUGH CUT_V1,Thando,Thando,ORIGINALS,
TRN,Spike Lee with Talk Radio News,Talk Radio News,Talk Radio News,FALSE,
UC,Scenes from the urban catwalk,Scenes from the urban catwalk,Urban Catwalk,FALSE,
VK,vogua kiam,vogua kiam,Vogua Kiam,COMMUNITY,
WITM,Why Intersectional TV Matters and How Artists Can Break In,Why Intersectional TV Matters and How Artists Can Break In,Why Intersectional TV Matters and How Artists Can Break In,OTV,
FV,freestylin vogua with effects and high data rate,freestylin vogua,Freestylin Vogua,FALSE,
PLQ,Phillip Lambert at Queer Ill & Okay,Phillip Lambert at Queer Ill & Okay,Phillip Lambert at Queer Ill & Okay,FALSE,
AIA,Aliens in America,Aliens in America,Aliens in America,PRESENTS,
CRS,CRAFT SERVICE_FINAL ROUGH,Craft Service,Craft Service,ORIGINALS,
PR,,Press Release,Press Release,OTV,
