Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Project ID
357045034501999_1033904690149360,https://www.facebook.com/weareotv/posts/1033904690149360,"#GrannyBallers is a proof of concept (work in progress) by Coquie Hughes that follows four grandmothers who happen to be bank robbers. 

You can ALSO watch the documentary on the making of #GrannyBallers here: https://vimeo.com/338148490",Link,,,05/24/2019 11:47:22 AM, ,465,465,0,539,539,0,25,18,20,0,0,503,430,0,0,20,0,0,0,0,0,0,0,0,0,0,2,9.0,2.0,2,11.0,2.0,7,13.0,,,7,13.0,,,,,None
357045034501999_1033353076871188,https://www.facebook.com/weareotv/posts/1033353076871188,"In Uneverything, a 37-year old black woman tries to come to terms with being husband-less, parent-less, childless, and quite possibly terrible at everything.

It's created by Tracie Roberson and is #nowstreaming on #weareotv !",Link,,,05/23/2019 02:38:53 PM, ,964,964,0,1260,1260,0,101,63,87,1,1,1194,909,0,0,97,0,0,0,0,0,0,0,0,0,0,1,54.0,2.0,1,54.0,2.0,28,48.0,,,37,50.0,,,1,1,UE
357045034501999_1031457670394062,https://www.facebook.com/weareotv/posts/1031457670394062,"“I want this series to be a bit of a reprieve from the inundation of tragic stories about trans people of color,” she said. “I want to make fun of and subvert dominant narratives about trans women in media in a comedic but authentic way. It’s a tribute to black trans women as multifaceted.&quot; - Femme Queen Chronicles creator Ahya Simone. 

This #otvwednesday #FemmeQueenChronicles premieres at OTV Presents: Granny Ballers, Uneverything, Femme Queen Chron ! 

Click through to RSVP for $FREE.99",Link,,,05/20/2019 02:13:02 PM, ,696,696,0,919,919,0,69,19,23,0,0,853,643,0,0,44,0,0,0,0,0,0,0,0,0,0,8,52.0,,8,54.0,,15,4.0,,,19,4.0,,,,,UE
357045034501999_1028649307341565,https://www.facebook.com/weareotv/posts/1028649307341565,"For Better - The Web Series is #nowstreaming on #weareotv ! 

#ForBetterSeries by Ashley Lackinger is the romcom/romantic dramedy reinvented. An anthology series; each episode focuses on a different couple in their slice of life. The goal is to be inclusive and show true to life moments that resonate with people who have shared their lives with someone else and are more honest and representative of the world we live in.",Link,,,05/16/2019 10:03:40 AM, ,431,431,0,566,566,0,38,20,26,0,0,528,401,0,0,24,0,0,0,0,0,0,0,0,0,0,3,20.0,1.0,3,23.0,1.0,10,11.0,,,15,11.0,,,,,FB
357045034501999_1027825584090604,https://www.facebook.com/weareotv/posts/1027825584090604,"Feel free to bring a snack to share for the mixer! We will have complimentary soft drinks (including Aymars ginger tea) some hard punch, wine &amp; beer!",Link,,,05/15/2019 06:33:46 AM, ,104,104,0,128,128,0,4,0,0,0,0,105,86,0,0,3,0,0,0,0,0,0,0,0,0,0,,4.0,,,4.0,,,,,,,,,,,,None
357045034501999_1027327504140412,https://www.facebook.com/weareotv/posts/1027327504140412,OTV Founder Aymar Jean Christian talks to CREATIVE CYPHER's Troy Pryor on how artists can start their careers and the advantages of developing intersectinoal indie TV in Chicago!,Video,,,05/14/2019 11:43:31 AM, ,1333,1333,0,1827,1827,0,82,53,77,0,0,720,479,0,0,53,16,17,0,0,341,378,0,0,10020,252542,7,51.0,2.0,7,58.0,3.0,48,,8.0,,68,,9.0,,,,None
357045034501999_1026685800871249,https://www.facebook.com/weareotv/posts/1026685800871249,"&quot;I think we’ve tapped into untapped sources of talent that maybe have been historically overlooked by the industry but we’ve put them all in one place and said ‘Look, there is this work happening in the city of Chicago right now. You’re going to want to sweep these people up because they are going to go on to do amazing things&quot; OTV founder Aymar Jean Christian for The Daily Northwestern. 

You have two opportunities to hang with us this week: 

Tomorrow: OTV Community Agreements Workshop &amp; Creation.  Break bread with us and ideate on what you need to feel brave in OTV spaces. Where are our opportunities to improve?  

Wednesday: OTV Presents: For Better with a Mid-Cycle Mixer catch the premiere of For Better - The Web Series AND celebrate the hard work of all the artists you're going to want to sweep up who have released programs this cycle !",Link,,,05/13/2019 11:58:49 AM, ,1718,1718,0,2630,2630,0,144,73,113,0,0,1206,601,0,0,85,0,0,0,0,0,0,0,0,0,0,13,100.0,,13,122.0,,56,25.0,,,87,26.0,,,,,FB|FB
357045034501999_1024242357782260,https://www.facebook.com/weareotv/posts/1024242357782260,"#TBT to #OTVtonight -  the amazing kickoff of Cycle 4 at the Museum of Contemporary Art Chicago where we previewed The Right Swipe, #goodenoughtv, Damaged Goods, and FOBia Series. 

We've just added hundreds more photos to this album, relive all this glory. Then pull out your calendar and check out weareo.tv/wednesdays to see a list of all our upcoming premieres for the rest of the cycle.

All photos by Ally Almore Photography.",Photo,,,05/09/2019 10:44:33 AM, ,591,591,0,767,767,0,48,30,52,0,0,709,555,0,0,44,0,0,0,0,0,0,0,0,0,0,,21.0,1.0,,21.0,1.0,17,,,26.0,25,,,27.0,,,TRS|DG|FOB
357045034501999_1024231861116643,https://www.facebook.com/weareotv/posts/1024231861116643:0,#OTVTonight 2019 Official Photos,Photo,,,05/09/2019 10:41:37 AM, ,723,723,0,1054,1054,0,82,46,70,0,0,589,361,0,0,60,0,0,0,0,0,0,0,0,0,0,1,44.0,,1,59.0,,27,,,29.0,39,,,31.0,,,None
357045034501999_1023179791221850,https://www.facebook.com/weareotv/posts/1023179791221850,"Thank you MEAWW for showcasing Mia McCullough's The Haven - Web Series, which premieres tomorrow! 

&quot;I think it’s safe to call 'The Haven' a dramedy. Domestic Violence is a deadly serious subject, but the culture of a shelter is an ecosystem with its own zaniness as people try to navigate their lives within it,&quot; said Elizabeth Laidlaw, who also happens to be a co-star on The Red Line! 

Premiere info: OTV Presents: The Haven, Searching for Isabelle, Catch Desire EP",Link,,,05/07/2019 05:43:42 PM, ,303,303,0,387,387,0,13,6,6,0,0,342,267,0,0,13,0,0,0,0,0,0,0,0,0,0,,7.0,,,7.0,,5,1.0,,,5,1.0,,,,,HAV|HAV|HAV|SFI
